"sentiment","text"
"Negative","Kecewanya Pelaku Pasar Saham Melihat Ekonomi RI"
"Positive","Pelaku Begal Dibekuk Aparat - Tribunnews.com"
"Positive","Polisi Pelaku Bom Solo Sempat Ucapkan Takbir"
"Positive","Jenazah Pelaku Bom Mapolresta Solo Diautopsi di Semarang"
"Positive","Awal Tahun 2018 Polisi Ringkus Pelaku Curat - KalbarOnline.Com"
"Positive","RKUHP Bisa Jerat Pelaku Nikah Siri dan Poligami - rayapos.com"
"Positive","Kerap Resahkan Masyarakat, Kapolres Singkawang Akan Tindak Tegas Pelaku Balap Liar - KalbarOnline.Co"
"Positive","Bendera Ditulisi Juga Ada di Mojokerto, Pelaku Hanya Diperingatkan"
"Positive","Pelaku Bom Bangkok ditangkap di Kamboja - ANTARA News Kalimantan Barat"
"Positive","Pelaku Pembocoran Salinan Windows 8 Ditangkap - ANTARA News Kalimantan Barat"
"Positive","Tim Gabungan Amankan Pelaku Ilegal Fishing | Pontianak Post"
"Positive","Polres Singkawang Tangkap Tiga Pelaku Curat - ANTARA News Kalimantan Barat"
"Positive","Pelaku Usaha Pontianak Diwajibkan Miliki Perizinan Industri - ANTARA News Kalimantan Barat"
"Positive","Maklumat Suara Rakyat dari Pelaku Ekonomi Kreatif - Tribun Pontianak"
"Negative","Pelaku Skimming ATM Sudah Membidik Indonesia Jadi Sasaran Aksi - rayapos.com"
"Positive","Bekraf Dorong Pelaku Film Dokumenter Pahami Strategi Pitching - Tribun Pontianak"
"Negative","Sebelum meledakkan diri di Mapolres, pelaku ngaku mencari polisi"
"Positive","Pelaku Begal Payudara di Cipinang Tertangkap Karena Rekaman CCTV - rayapos.com"
"Positive","Polisi Amankan Pelaku Telanjang di Malaysia - ANTARA News Kalimantan Barat"
"Positive","Pelaku Pembuang Bayi di Sungai Tangaran Sambas, Sudah Diamankan Polisi - KalbarOnline.Com"
"Negative","Ini Modus Pelaku Lelang Mobil yang Mengatasnamakan Pejabat Kepolisian - rayapos.com"
"Positive","Rumah Farah Quinn Dirampok, Polisi Telusuri Pelaku - ANTARA News Kalimantan Barat"
"Positive","BRI Sediakan Kartu Kredit Untuk Pelaku UMKM - ANTARA News Kalimantan Barat"
"Positive","Pelaku Usaha Wajib Sampaikan LKPM, Muslimin: Menjadi Ukuran Keberhasilan - Tribun Pontianak"
"Positive","Mensos Minta Pelaku Penelantar Anak Disanksi Berat - ANTARA News Kalimantan Barat"
"Positive","Ini Daftar Nama Pelaku Penjarahan Toko Pakaian di Depok - rayapos.com"
"Positive","idEA Gelar ""kenduri"" Pada Pelaku Umkm Pontianak - ANTARA News Kalimantan Barat"
"Positive","OJK dorong pelaku industri tingkatkan literasi dan inklusi - ANTARA News Kalimantan Barat"
"Positive","Polda Metro Kejar Pelaku Penusukan Dua Anggota Polisi di Pondok Gede - rayapos.com"
"Negative","33 Warga Tiongkok Diduga Pelaku Kejatahan Siber - ANTARA News Kalimantan Barat"
"Positive","Polisi Akan Tindak Tegas Pelaku Kekacauan Singkawang - ANTARA News Kalimantan Barat"
"Negative","Nur Rohman, Diduga Pelaku Bom Solo - ANTARA News Kalimantan Barat"
"Positive","Otak Pelaku Kudeta Turki Ditahan"
"Negative","343 Pemda Terseret Kasus Korupsi, Sri Mulyani: Ini Mengkhawatirkan!"
"Positive","Tekan Angka Korupsi, Dewan Minta Pemerintah Lakukan MoU dengan Penegak Hukum - Tribun Pontianak"
"Negative","Ada Indikasi Pelapor Kriminalisasi Wartawan Yang Bongkar Dugaan Korupsi Dana Koran | Media Kalbar Ne"
"Positive","Nazaruddin Punya Bukti Fahri Hamzah Korupsi, Begini Serangan Balik Wakil Ketua DPR Itu - Tribun Pont"
"Positive","Jokowi Diminta Tak Perlu Retorika Respons Kasus HAM dan..."
"Negative","Warga Saudi Tak Percaya 11 Pangeran Diciduk Gara-gara Korupsi"
"Positive","Tangkal Korupsi, Anies Baswedan Bakal Kedepankan Transparansi : Okezone News"
"Negative","343 Pemda Terseret Kasus Korupsi, Sri Mulyani: Ini Mengkhawatirkan!"
"Positive","Ketua LSM Pengawas KPK Kalbar Sebut Midji-Norsan Bersih dari Korupsi - Tribun Pontianak"
"Positive","Banyak Kepala Daerah Korupsi, KPK Ingin Ada Penguatan Inspektorat - Kompas.com"
"Positive","Daripada Korupsi, KPK Mending Partai Diberi Jatah di APBN"
"Positive","Klaim Tak Terlibat Kasus Korupsi, Ini Penjelasan Kuasa Hukum Rektor IAIN Pontianak - Tribun Pontiana"
"Positive","Nusron Jihad Paling Besar adalah Melawan Nafsu Korupsi"
"Negative","Kenaikan Tarif Urus Surat Kendaraan Dikhawatirkan Jadi Ladang Korupsi - Kompas.com"
"Negative","Buah Duren Buah Kecapi, Lapor LHKPN Tetap Aja Masih Korupsi - Kantorberitapemilu.com"
"Negative","Yusril Unsur Korupsi dalam Pembelian Lahan Cengkareng Barat Itu Nyata "
"Positive","Polantas Diminta Tingkatkan Pelayanan Yang Bersih dari Korupsi, Kolusi dan Nepotisme - Tribun Pontia"
"Positive","Lebih Signifikan Berantas Korupsi Melalui Perampasan Aset dan Pencabutan Hak Politik - Tribunnews.co"
"Positive","Cegah Pungli, Kementan Cetak Penyuluh Pertanian Anti Korupsi"
"Positive","Selama di KPK, AKBP Anggon Tangani Kasus Korupsi Sejumlah Pejabat di Indonesia - Tribun Pontianak"
"Negative","Proyek Kolam Ikan dan Pos Kesehatan Ikan Disinyalir Ada Aroma Korupsi Terorganisir | Media Kalbar Ne"
"Positive","Minta Polisi Serius Tangani Kasus Dugaan Korupsi Proyek Drainase Jalan DI Panjaitan - Tribun Pontian"
"Positive","Jelang HAKI, GNPK RI Himbau Masyarakat dan Pemerintahan Cegah Korupsi dari Diri Sendiri - KalbarOnli"
"Positive","Pada 1992, Hakim Agung Adi Andojo Sudah Adili Korupsi Rp 811 M"
"Positive","Gatranews - Solihin GP Berharap PATEN Berantas Korupsi dan Prioritaskan Ekonomi Kerakyatan"
"Positive","Selidiki Korupsi Meubelair IAIN Pontianak, Polresta Gandeng Tim Ahli dari Jakarta - Tribun Pontianak"
"Negative","Korupsi dan Deretan Hal Lain yang Buat Daya Saing RI Tertinggal"
"Positive","Sepanjang 2016, KPK Dampingi 9 Provinsi Rawan Korupsi : Okezone News"
"Positive","Banyak Kapal Pencuri Ikan Tidak Ditenggelamkan, Menteri Susi Marah Besar"
"Positive","Kronologi Penangkapan Kapal Pencuri Ikan Terbesar Sepanjang Sejarah RI"
"Positive","Kronologi Penangkapan Kapal Pencuri Ikan Terbesar Sepanjang Sejarah RI"
"Positive","Kronologi Penangkapan Kapal Pencuri Ikan Terbesar Sepanjang Sejarah RI"
"Positive","Aksi Pencuri Motor di Parkiran RSUD Syarif Mohamad Alkadrie Terekam CCTV - Tribun Pontianak"
"Positive","Banyak Kapal Pencuri Ikan Tidak Ditenggelamkan, Menteri Susi Marah Besar"
"Positive","Pencuri Kayu Tertangkap Selagi Memotong Pohon Jadi Papan"
"Positive","Duterte Bakal Tembak Langsung Pencuri Ikan di Laut Filipina"
"Positive","Banyak Kapal Pencuri Ikan Tidak Ditenggelamkan, Menteri Susi Marah Besar"
"Negative","Susi Akui Laut RI Belum Bersih Dari Kapal Pencuri Ikan"
"Positive","Pengembangan Pencurian HP di Masjid Ketapang"
"Positive","Kronologi Penangkapan Kapal Pencuri Ikan Terbesar Sepanjang Sejarah RI"
"Positive","Tertangkap di Menjalin, Akhirnya Dua Pencuri Motor Dijemput Polsek Seluas - Tribun Pontianak"
"Positive","Polisi Ringkus 3 Remaja Pencuri Motor Spesialis Rusun"
"Positive","Kronologi Penangkapan Kapal Pencuri Ikan Terbesar Sepanjang Sejarah RI"
"Negative","Nelayan Pencuri Penyu Ini Mengaku Tak Tahu Penyu Satwa Dilindungi - Tribun Pontianak"
"Negative","Kawanan pencuri gasak isi kotak amal di Ternate, uang Rp 1 juta raib"
"Negative","Amin: Sudah Dua Kali Kasus Pembakaran Sepeda Motor Pencuri di Parit Demang - Tribun Pontianak"
"Positive","103 Napi Terorisme Dipertemukan dengan Korban dan Keluarga  VIVA"
"Positive","Ini Sosok Perempuan Korban Heli Jatuh di Yogyakarta"
"Negative","Kaki Korban Nyaris Putus, Ini Penjelasan Kapolsek Ambawang - Tribun Pontianak"
"Positive","SAR Pontianak Temukan Korban Lansia Tengelam Di Sungai - ANTARA News Kalimantan Barat"
"Negative","Konstruksi LRT di Kayu Putih Roboh, Korban Dirawat di RS Colombia Asia - rayapos.com"
"Negative","Anak Korban Eksploitasi Berkomunikasi Lewat Facebook - ANTARA News Kalimantan Barat"
"Positive","Up date - Peti Jenazah Korban Sukhoi Segera Ditutup - ANTARA News Kalimantan Barat"
"Negative","Satu Keluarga Dibantai di Tangerang, Polisi Kunjungi Korban di RS Polri - rayapos.com"
"Positive","Tiada WNI Korban Badai Irama Karibia - ANTARA News Kalimantan Barat"
"Positive","Polisi Pastikan Tidak Ada Tanda Kekerasan di Tubuh Korban - Tribun Pontianak"
"Negative","Humas BNPB: Banyak Korban Banjir DKI Tak Bersedia Mengungsi - rayapos.com"
"Negative","Basarnas Belum Pastikan Jumlah Korban Yang Ditemukan - ANTARA News Kalimantan Barat"
"Negative","Dihari Ketiga, Korban Hilang Masih Belum Ditemukan - KalbarOnline.Com"
"Positive","Polisi: Anggota Ormas Pengeroyok Kader PDIP Masih Tetangga Korban - News Liputan6.com"
"Positive","Inilah Identitas Korban Laka Maut Di Desa Korek - Tribun Pontianak"
"Negative","Korban Kebakaran di Jalan Kom Yos Sudarso Hingga Pingsan - Tribun Pontianak"
"Positive","Wabup Rupinus Serahkan Bantuan Korban Banjir - ANTARA News Kalimantan Barat"
"Positive","Korban Tenggelam Berhasil Ditemukan Tim SAR Gabungan - KalbarOnline.Com"
"Negative","Haru! Korban Kebakaran Menangis di Hadapan Wali Kota Singkawang - Tribun Pontianak"
"Positive","Korban Angin Puting Beliung Terima Bantuan dari Pemkot - KalbarOnline.Com"
"Positive","Korban Bencana Perlu Diberikan Dukungan Psikologi Sosial"
"Positive","Karolin Ajak Masyarakat Landak Doakan Korban Gempa - ANTARA News Kalimantan Barat"
"Positive","Berapa Santunan Pengobatan Korban Kecelakaan - Tribun Pontianak"
"Negative","Kepala BLHD Mempawah Jadi Korban Tabrakan - ANTARA News Kalimantan Barat"
"Negative","Evakuasi Korban Banjir Singkawang Bertambah 14 KK - ANTARA News Kalimantan Barat"
"Positive","Tiga Korban Laka Air, Telah Dievakuasi Basarnas - KalbarOnline.Com"
"Positive","Pencarian Dihentikan, Keluarga Korban Hilang Mengaku Ikhlas - KalbarOnline.Com"
"Positive","Potongan Tubuh Korban MH17 Ditemukan - ANTARA News Kalimantan Barat"
"Negative","Kendala Identifikasi Jenazah Korban KM Zahro Expres - News Liputan6.com"
"Positive","Polri: 5 Jenazah Korban KM Zahro Expres Berhasil Diidentifikasi - News Liputan6.com"
"Positive","Firasat Kepergian Jumadi, Korban Tabrakan Beruntun di Mempawah - Tribun Pontianak"
"Negative","Daftar Korban Meninggal Kala Macet Menggila di Jalur Mudik"
"Positive","Basarnas Target Sepekan Pencarian Korban - ANTARA News Kalimantan Barat"
"Positive","Korban Tanah Longsor Asal Sekadau Dimakamkan - ANTARA News Kalimantan Barat"
"Positive","Refleksi 10 Tahun Tsunami di Mata Korban - ANTARA News Kalimantan Barat"
"Positive","Pencarian korban longsor Brebes sementara dihentikan - ANTARA News"
"Positive","Korban Tangga Roboh di Apartemen Bekasi Dievakuasi - News Liputan6.com"
"Negative","Kecelakaan Tol Cipali, Dua Korban Luka Berat"
"Negative","Tiga Korban Laka Meninggal Di Singkawang - ANTARA News Kalimantan Barat"
"Positive","Duta Besar RI: Tidak Ada WNI Jadi Korban Gempa Tiongkok - ANTARA News Kalimantan Barat"
"Positive","Kapolsek Sekadau Hilir Bersama Sejumlah Kades dan IWAS Kunjungi Korban Kebakaran - KalbarOnline.Com"
"Positive","PMI dan ICRC Bantu Korban Topan Filipina - ANTARA News Kalimantan Barat"
"Positive","3 Jenazah Korban AirAsia Ditemukan pada Hari ke-12 - ANTARA News Kalimantan Barat"
"Positive","Modifikasi CBR250R, ""Korban Mutilasi"" - Otomania.com"
"Positive","Solidaritas Untuk Korban Kebakaran Balai Sepuak - ANTARA News Kalimantan Barat"
"Positive","8 Tahun Semburan Lumpur Lapindo, Korban Lakukan Istighasah - ANTARA News Kalimantan Barat"
"Positive","Bantuan Terus Berdatangan Ke Korban Kebakaran Pasar Melano - ANTARA News Kalimantan Barat"
"Negative","Polri Pastikan Korban Runtuhnya Selasar BEI 72 Orang - rayapos.com"
"Positive","Korban Tabrakan Maut Ini Meninggal dalam Posisi Sujud - Tribun Pontianak"
"Negative","Warga Aceh Temukan Tulang Belulang Manusia, Diduga Korban Konflik | iNews Portal - Aceh"
"Negative","Keluarga Korban Kebakaran Kawasan Pecinan Pontianak Mengungsi - ANTARA News Kalimantan Barat"
"Negative","Korban Gempa EQuador Meningkat Jadi 646 Orang - ANTARA News Kalimantan Barat"
"Positive","Dinsosnakertrans Siapkan Stok Untuk Pengungsi Korban Banjir - ANTARA News Kalimantan Barat"
"Negative","BREAKING NEWS: Korban Perkosaan 9 Pria di Mempawah Trauma - Tribun Pontianak"
"Negative","Dievakuasi, Korban Tangga Roboh di Apartemen Bekasi Meninggal - News Liputan6.com"
"Negative","Korban Kebakaran Sungai Kunyit Masih Alami Trauma - Tribun Pontianak"
"Positive","Tidak Ada WNI jadi Korban Bom Baghdad"
"Negative","Pohon tumbang, empat korban alami luka-luka"
"Positive","Pemkot Pontianak Siap Biayai Rehabilitasi 2 Anak Korban Seksual - ANTARA News Kalimantan Barat"
"Positive","PMI Kalbar Bantu Korban Kebakaran Asrama TNI - ANTARA News Kalimantan Barat"
"Negative","Siswi SMA 3 Ketapang Korban Tabrakan Maut - ANTARA News Kalimantan Barat"
"Negative","Astaga, Kecelakaan di Tol Cawang Telan 14 Korban - rayapos.com"
"Positive","Tim Gabungan Temukan Korban Tersambar Petir di Sungai Kapuas - ANTARA News Kalimantan Barat"
"Positive","Bupati Rupinus Melayat Korban Tertimpa Pohon Durian - KalbarOnline.Com"
"Negative","Kecelakaan Lalu Lintas, Kondisi Korban Mengerikan - Tribun Pontianak"
"Negative","Duka Iringi Pemakaman Guru PAUD Korban Tank Tenggelam di Purworejo | iNews Portal - Jateng"
"Positive","Tim SAR Gabungan Evakuasi Jasad Korban Pemancing di Sungai Rasau - KalbarOnline.Com"
"Positive","Polisi : Tidak Ada Tanda Kekerasan Pada Kerangka Korban - Tribun Pontianak"
"Negative","Korban Kecelakaan Air Hitam Butuh Donor 20 Kantong Darah - Tribun Pontianak"
"Negative","Jumlah Korban Akibat Ledakan Gudang di Tianjin Jadi 17 Orang - ANTARA News Kalimantan Barat"
"Positive","12 Korban Longsor Sukabumi Ditemukan - ANTARA News Kalimantan Barat"
"Negative","Polisi: Evakuasi Korban Tangga Apartemen Bekasi Butuh Waktu - News Liputan6.com"
"Positive","DPRD Minta Pelaksana Proyek Santuni Korban Lakalantas - ANTARA News Kalimantan Barat"
"Negative","Tabrakan Beruntun di Mempawah Dikabarkan Renggut Korban Jiwa - Tribun Pontianak"
"Negative","Dua Gadis Pelabuhanratu Jadi Korban Perdaganan Manusia - ANTARA News Kalimantan Barat"
"Positive","Bupati dan Wakil Bupati Sekadau Kunjungi Korban Kebakaran di LLK - KalbarOnline.Com"
"Negative","Tulang Kemaluannya Patah, Begini Kesaksian Korban Runtuhnya Selasar Gedung BEI - rayapos.com"
"Negative","Para Korban Kebakaran Rumah Betang Butuh Bantuan Sembako - Tribun Pontianak"
"Positive","Detik-detik Polisi Selamatkan Anak Korban Banjir di Paloh - Tribun Pontianak"
"Negative","Kapal Malaysia Tenggelam, 66 WNI Dikhawatirkan Jadi Korban - ANTARA News Kalimantan Barat"
"Positive","Orangtua Korban Harap Oknum Pengendara Moge Bertanggunggawab - Tribun Pontianak"
"Positive","Seluruh Korban Meninggal KM Zahro Expres Teridentifikasi - News Liputan6.com"
"Positive","Basarnas Masih Lanjut Cari Korban Airasia - ANTARA News Kalimantan Barat"
"Positive","BNN Telah Rehabilitasi 42.429 Korban Penyalahgunaan Narkotika - ANTARA News Kalimantan Barat"
"Negative","Korban Banjir Bandang Cicaheum Butuh Bantuan Air Bersih | iNews Portal - Jabar"
"Negative","Akses Jalan Darat Lumpuh, Ratusan Keluarga jadi Korban Banjir - Tribun Pontianak"
"Negative","Ini Identitas Korban Bus Putra Kembar Yang Terbalik - KalbarOnline.Com"
"Positive","Pemkab Salurkan Bantuan Untuk Korban Kebakaran Rumah Betang Ulu Banua - KalbarOnline.Com"
"Negative","Tragis! Beredar Foto Korban Kecelakaan Bersimbah Darah di Singkawang - Tribun Pontianak"
"Positive","Opick Lelang Syal Bantu Korban Palestina - ANTARA News Kalimantan Barat"
"Negative","Libur Lebaran, Pantai Pangandaran Minta Korban"
"Positive","Sinarmas Bawa Warga Operasi Katarak Gratis Dan Bantu Korban Banjir - ANTARA News Kalimantan Barat"
"Positive","BPBD Pontianak Bantu Korban Kebakaran di Tanjung Raya 2 - Tribun Pontianak"
"Positive","Pemkab Mempawah Bantu Korban Kebakaran Sungai Pinyuh - ANTARA News Kalimantan Barat"
"Positive","Korban kebakaran Singkawang dapat bantuan - ANTARA News Kalimantan Barat"
"Negative","Korban Bom Baghdad Tembus 281 Jiwa"
"Positive","Menag: Keluarga Korban Sudah Ikhlaskan Jenazah Mina - ANTARA News Kalimantan Barat"
"Positive","Korban helikopter jatuh dilarikan ke RS Bhayangkara Yogya"
"Negative","Pertambangan Galian C Sibau Hilir Memakan Korban - ANTARA News Kalimantan Barat"
"Positive","Pengamat Pendidikan: Guru Jangan jadi Korban - Tribun Pontianak"
"Positive","BPBD Pontianak Berikan Beras Kepada Korban Kebakaran - ANTARA News Kalimantan Barat"
"Negative","Tim SAR Gabungan Hentikan Pencariaan Korban KM Eka Jaya - KalbarOnline.Com"
"Negative","Polda Metro Terima Laporan Korban Lain SJ - ANTARA News Kalimantan Barat"
"Negative","Wow, Ibra Pernah Jadi Korban Amukan Ancelotti - Bola Liputan6.com"
"Positive","BNPB: Belum Ada Korban Jiwa Akibat Gempa Papua - rayapos.com"
"Positive","Korban Runtuh Girder Proyek Tol Becakayu Dalam Kondisi Stabil - rayapos.com"
"Positive","Bupati Berikan Bantuan Kepada Korban Kebakaran di Desa Tanjung - KalbarOnline.Com"
"Positive","Tim SAR Ketapang Evakuasi Korban Dengan Selamat - KalbarOnline.Com"
"Positive","KPAI: Anak Korban AirAsia Perlu Perhatian Khusus - ANTARA News Kalimantan Barat"
"Negative","BPBD Singkawang Belum Evakuasi Korban Banjir - ANTARA News Kalimantan Barat"
"Positive","Korban Laka Kerja PT AKM Masuk RS | Pontianak Post"
"Positive","Pemkab Mempawah Upayakan Bantu Korban Kebakaran - ANTARA News Kalimantan Barat"
"Negative","12 Rumah Hangus Terbakar, Ini Cerita Para Korban - Tribun Pontianak"
"Negative","Gempa Aceh Timbulkan Korban Jiwa - ANTARA News Kalimantan Barat"
"Positive","Kunjungi Korban Terkaman Buaya, Bupati Rusman Ali Segera Bentuk Tim Penanggulangan - KalbarOnline.Co"
"Positive","Dinsos Sambas Serahkan Bantuan Untuk Korban Kebakaran - ANTARA News Kalimantan Barat"
"Negative","Korban Van Gaal: Rivaldo, Riquelme Hingga Falcao - Bola Liputan6.com"
"Negative","Saksi Kasus Ahok Diduga Lakukan Penipuan Pembangunan Tempat Ibadah - Tribunnews.com"
"Positive","Kasus Pembunuhan Lie Chu Oleh Sang Pacar, Begini Menurut Psikolog Pontianak - Tribun Pontianak"
"Negative","Dua Pembunuhan Mirip Kasus Akseyna Kembali Terjadi di Depok"
"Positive","Perdana Menteri Slowakia Rapat Darurat Bahas Pembunuhan Wartawan Investigasi - Kantorberitapemilu.co"
"Positive","Waspada Penipuan Online, Adik Julia Perez Baru Saja Kena Musibah - Tribun Pontianak"
"Negative","Pembunuhan di Apartemen Belleza Terjadi di Tangga Darurat"
"Positive","Waspada! Pesan Penipuan Berseliweran, Kapolsek Pontianak Utara Imbau Warga Lakukan Ini - Tribun Pont"
"Negative","Tahanan Kasus Pembunuhan Siswi MTs di Jasinga Kabur dari Rutan Salemba"
"Positive","Hati-Hati Penipuan, Undian Berhadiah Hanya Bisa Dilihat Melalui Wibsite Resmi Telkomsel - Tribun Pon"
"Negative","Ramadhan Pohan Bantah Ditangkap atas Kasus Penipuan"
"Negative","Pembunuhan di Hotel Elysta, Polisi Sudah Direncanakan"
"Positive","Awas Penipuan! Pemerintah Belum Buka Tes CPNS Honorer dan Umum"
"Negative","Wah, Diduga Kerap Selingkuh Hingga Tak Beri Nafkah, Oknum PNS di Sanggau Dilaporkan Istri - Tribun P"
"Positive","Pengantin Pria Berikan Mahar Kayak Gini Sama Istrinya, Bisa Dipakai Gebukin Suami Kalau Selingkuh! -"
"Negative","KPK Pegang Nama-nama Calon Kepala Daerah yang Terlibat Korupsi di Seluruh Wilayah Indonesia - Tribun"
"Positive","Tangkap Oknum DPRD Ketapang di Duga Korupsi 1.6 Milyar, Rugikan Negara Dan Rakyat | Media Kalbar New"
"Negative","Tiga Cewek di Landak Ini Positive Narkoba, Begini Tindak Lanjut BNN Kalbar - Tribun Pontianak"
"Positive","MABM Kalbar Minta Kapolda Baru Atensi Narkoba, Radikalisme dan Kriminalitas - Tribun Pontianak"
"Positive","Konsumsi Narkoba Sejak Lama, Rapper Iwa K Diancam 12 Tahun Penjara - Tribun Pontianak"
"Positive","Terlibat Narkoba, Dua Prajurit TNI AL Dipecat"
"Positive","Rapat Kerja Sinergi Program Pemberdayaan Alternatif Pada Kawasan Rawan Dan Rentan Narkoba - Tribun P"
"Positive","Polsek Paloh Gelar Penyuluhan Bahaya Narkoba dan Ancaman Karhutla, Ini Tujuannya - Tribun Pontianak"
"Negative","Seperti Ninja, Bandar Narkoba Meloncati Atap Rumah saat Terkepung : Okezone News"
"Positive","Safitri Triesjaya - Artis FTV Pendatang Baru Ditangkap Polisi Karena Narkoba - Tribun Pontianak"
"Positive","Alasan Kapolri Rilis Kasus Narkoba di Depan Ruang Jenazah RS Polri - Kompas.com"
"Positive","Sikapi Isu Peredaran Narkoba Jenis Flakka, Ini Penjelasan Dokter Bidang Rehabilitasi BNNP Kalbar - T"
"Positive","Ada Pengguna Narkoba Usia Pelajar Terjaring Razia, Ini Imbauan Polres Sambas - Tribun Pontianak"
"Negative","Telepon Tak Diangkat Suami, Novi Sembunyikan Narkoba di Tempat Ini - Tribun Pontianak"
"Positive","Wagiman Dipromosikan Kasi Narkoba Kalteng, Ini Sosok Kasi Intel Kejari Pontianak yang Baru - Tribun "
"Negative","Razia Narkoba di LP Bengkulu, Kapolres Dipukul Napi"
"Positive","PDIP Pecat Anggota DPRD Kudus yang Tertangkap dalam Kasus Narkoba"
"Positive","MILF Ingin Bantu Duterte Berantas Narkoba, Ini Ganjarannya"
"Positive","DPR: IT TNI-Polri Harus Lebih Canggih dari Bandar Narkoba VIVA"
"Positive","Deteksi Dini Penyalahgunaan Narkoba, DPRD Harap Peran Orang Tua dan Guru - Tribun Pontianak"
"Positive","Militer Diminta Bantu Perang Narkoba, Kemenhan Tagih Perintah Duterte : Okezone News"
"Negative","Panglima TNI Ungkap Ancaman NKRI Mulai dari Narkoba hingga..."
"Positive","Berhasil Gagalkan Perederan Narkoba, Satgas Pamtas Yonif PR 502/UY Raih Penghargaan Prajurit Prestas"
"Positive","Artis Safitri Triesjaya Crespin Ditangkap Karena Narkoba, Ini 12 Faktanya - Tribun Pontianak"
"Positive","Bandar Narkoba Makin Canggih, Ini Strategi Kapolda Metro Jaya"
"Positive","Terciduk Saat Transaksi Inex, Pria Ini Diamankan Sat Narkoba Polresta Pontianak - Tribun Pontianak"
"Negative","Jalani Tes Urine, Sopir Bus Positive Narkoba"
"Positive","Waspada! Setiap Hari 5 Kilogram Narkoba Masuk ke Kabupaten Sambas, Infonya Valid Lho - Tribun Pontia"
"Negative","Narapidana Narkoba Dibawa Kabur Pria Misterius Dari Tahanan di Aceh - Tribunnews.com"
"Positive","Jadi Inspektur Upacara HUT Pramuka, Bupati: Jauhi Narkoba dan Tanamkan Dasa Dharma Pramuka - KalbarO"
"Negative","Beredar Kabar, Pasutri Tahanan Narkoba Polres Ketapang Kabur dari Sel - Tribun Pontianak"
"Positive","BNNK Cilacap Gandeng Penyuluh Agama Berantas Narkoba : Okezone News"
"Positive","Cegah Pegawai dari Narkoba, Pemkab Kubu Raya Terus Lakukan Pembinaan - Tribun Pontianak"
"Positive","Veteran Jabar Ajak Generasi Muda Perangi Narkoba dan Radikalisme - Tribunnews.com"
"Negative","Bea Cukai dan Polisi Tunda Pencarian Narkoba di..."
"Positive","Kunjungan Kerja di Kapuas Hulu, Kapolda : Kasus Narkoba Di PLB Badau Masih Terus Dikembangkan - Kalb"
"Negative","Aktor Wiro Sableng Nasibmu Kini, Hancur karena Wanita dan Narkoba - Tribun Pontianak"
"Positive","9 Bintang Porno Ini Memutuskan Pensiun, Ada yang Jadi Artis Kpop hingga Tokoh Agama! - Tribun Pontia"
"Negative","Fabio Toba - Pria Indonesia yang Meniti Karier di Luar Negeri Sebagai Bintang Film Porno - Tribun Po"
"Negative","Merasa Tertekan, Bintang Film Porno Minum Obat-obatan, Perutnya Membesar, ini yang Terjadi Kemudian!"
"Positive","Masih Ingat Video Porno Anak SD dengan Wanita Dewasa? Kabar Mengejutkan dari Pemeran Wanita - Tribun"
"Negative","Selama Jadi Istri Pria Kaya Raya, Eks Bintang Film Porno Ini Tak Pernah Berhubungan Intim - Tribun P"
"Negative","Aktor Film Porno ini Akui Sudah Tiduri Lebih 8.000 Wanita, Ia Beberkan Kunci Keperkasaannya! - Tribu"
"Positive","Polisi Tangkap Empat Warga Putussibau Kasus Narkoba - ANTARA News Kalimantan Barat"
"Positive","Pegawai PDAM Singkawang Negative Narkoba - ANTARA News Kalimantan Barat"
"Negative","Dua Kecamatan di Mempawah Rawan Penyebaran Narkoba - Tribun Pontianak"
"Positive","TNI Sosialisasikan Bahaya Narkoba Dan HIV/AIDS - ANTARA News Kalimantan Barat"
"Positive","Polres Mempawah Bongkar Pasutri Jaringan Narkoba - ANTARA News Kalimantan Barat"
"Positive","Danrem 102/Pjg Pecat Dua Prajurit Terlibat Narkoba - ANTARA News Kalimantan Barat"
"Positive","Dilantik Sebagai Mabicab Pramuka Sambas, Bupati Tegaskan Narkoba Musuh Bersama - KalbarOnline.Com"
"Negative","Istri Ditahan Kasus Narkoba, Anak Tertua Jadi Pelampiasan Sang Ayah | iNews Portal - Aceh"
"Positive","Warga Kampung Boncos Laporkan Kumpulan Pengedar Narkoba - rayapos.com"
"Negative","6 Pengunjung Hotel di Sambas Terindikasi Positive Konsumsi Narkoba - Tribun Pontianak"
"Positive","Polda Kalbar Akan Koordinasi Bersama Malaysia Terkait Peredaran Narkoba - ANTARA News Kalimantan Bar"
"Negative","Mendikbud : Narkoba bukan bisnis tapi perang proksi - ANTARA News"
"Positive","30 Peserta Ikuti Raker Pemberdayaan Masyarakat Anti Narkoba - Beritajakarta.id"
"Positive","Kak Seto : Rokok Sama Dengan Narkoba - ANTARA News Kalimantan Barat"
"Positive","15 Orang Positive Narkoba Diamankan BNNK Singkawang - ANTARA News Kalimantan Barat"
"Negative","Ternyata Jennifer Dunn Doyan Pakai Narkoba Sejak Usia 15 Tahun - rayapos.com"
"Positive","Cegah Anak Terjerumus Narkoba, Vinda: Terapkan Pola Asuh Otoritatif - Tribun Pontianak"
"Positive","Gandeng BNN, Pemkab Kubu Raya Kibarkan Bendera Perang Terhadap Narkoba - KalbarOnline.Com"
