"id","sentiment","text"
15526,"Positive","Ketua KPU Mempawah Sebut Debat Paslon Ajang Adu Visi dan Misi Terbaik - Tribun Pontianak"
15527,"Positive","Bawaslu RI Siap Hanguskan Pelanggaran Politik, di Pilkada 2018 - rayapos.com"
15528,"Positive","Bertemu Jokowi dan Kader PDIP, Ahok Bakal Maju Lewat Partai"
15529,"Positive","Panwaslu Warning Paslon Agar Tak Libatkan Anak-anak Dalam Kampanye - Tribun Pontianak"
15530,"Positive","Jumat 23 Februari, Bawaslu Mediasi PBB dan KPU VIVA"
15531,"Positive","KPU Singkawang Gelar Debat Pilkada di Televisi - ANTARA News Kalimantan Barat"
15532,"Positive","Usung Karolin di Pilgub Kalbar, Suriansyah Bantah Tudingan Wakil Ketua Umum DPP Gerindra - Tribun Po"
15533,"Positive","Usung Karolin di Pilgub Kalbar, Ini Calon Wakil yang Dididik Gerindra - Tribun Pontianak"
15534,"Positive","Gerindra Resmi Dukung Karolin Margret Di Pilgub Kalbar - Kantorberitapemilu.com"
15535,"Positive","Bawaslu Akan Bubarkan Paslon yang Kampanye di Tempat Ibadah dan Lembaga Pendidikan - Tribun Pontiana"
15536,"Positive","Ini Video KPU Sanggau Sosialisasi Pelaporan Dana Kampanye Paslon - Tribun Pontianak"
15537,"Positive","Bahas Pilkada dan Pemilu, PDIP Gelar Rakernas Tertutup - rayapos.com"
15538,"Positive","Komisioner KPU: Tiga Paslon di Pilgub Kalbar Adalah Putra-putri Terbaik - KalbarOnline.Com"
15539,"Positive","Golkar Mempawah Optimis Menang Pilkada 2018 dan Pemilu 2019 - KalbarOnline.Com"
15540,"Negative","Anggota DPR dari Partai Demokrat Diperiksa Kasus Penipuan"
15541,"Positive","Partai Golkar Optimis Bisa jadi Pemenang di Pilkada 2018 - Tribun Pontianak"
15542,"Positive","Suap DPR, Pendiri Partai Demokrat Sumbar Yogan Askan Dipecat"
15543,"Positive","Survei LKPI, Banyak Dipilih Masyarakat Partai Gerindra Akan Kalahkan PDIP - Kantorberitapemilu.com"
15544,"Positive","Partai Baru Punya Hak Usung Capres di Pilpres 2019 meski Belum Punya Kursi di Parlemen : Okezone New"
15545,"Positive","LSI: Golkar Bakal Jadi Pesaing Terkuat PDIP di Pilkada 2018 - rayapos.com"
15546,"Negative","Dianiya Sekelompok Warga Usai Kampanye, Kader PDIP Jakarta Lapor Polisi : Okezone News"
15547,"Positive","Sjafrie Klaim Dapat Restu SBY dan Prabowo untuk Lawan Ahok"
15548,"Positive","PDIP Konsolidasi Jelang Kampanye Pilkada Kubu Raya - ANTARA News Kalimantan Barat"
15549,"Negative","PDIP tak peduli Honing Sanny melawan sampai laporkan ketua DPR"
15550,"Positive","Politik Hukum Pilgub Jakarta 2017 dan Pilpres 2019 - Kompas.com"
15551,"Positive","KPU Jabar Ingatkan Paslon Soal Kampanye Doorprize - Kantorberitapemilu.com"
15552,"Positive","KPU Ingatkan Paslon Jangan Tebar Fitnah Saat Kampanye - Tribun Pontianak"
15553,"Positive","KPU Larang Parpol Kampanye Pemilu Sertakan Anak - ANTARA News Kalimantan Barat"
15554,"Positive","Berkas PKB Dinyatakan Lengkap Oleh KPU Sekadau, Sirajudin: Sah Menjadi Peserta Pemilu 2019 - KalbarO"
15555,"Positive","Gatranews - Pasek: Pengurus Hanura Ibarat Timnas, Ada Pemain ""Asli"" dan ""Naturalisasi"""
15556,"Positive","PDIP Minta KPU Kodifikasi UU Pemilu"
15557,"Positive","Suryansah Klaim Gerindra Terus Bangun Komunikasi Politik Jelang Pilkada 2018 - KalbarOnline.Com"
15558,"Negative","Gerindra Batal Usung Karolin di Pilgub Kalbar, Simak Analisa Lengkap Dr Jumadi - Tribun Pontianak"
15559,"Positive","Penjelasan Komisioner KPU Kalbar Mengenai Tahapan Kampanye Pilgub - Tribun Pontianak"
15560,"Positive","Gelar Sosialisasi Pengawas Pemilu Partisipatif, Panwaslu Ketapang Minta Seluruh Elemen Masyarakat Tu"
15561,"Positive","Sengkarut Internal Partai Hanura, Setelah Wiranto Tegaskan Usung Ahok di Pilkada 2017 Nanti - rayapo"
15562,"Positive","KPU Tolak Berkas Milton-Boyman, Ini Permintaan Gerindra pada Bawaslu dan DKPP - Tribun Pontianak"
15563,"Positive","KPU Kalbar Ingatkan Peserta Pemilu Siapkan Laporan Dana Kampanye - ANTARA News Kalimantan Barat"
15564,"Positive","KPU Pontianak Sosialisasikan Zona Kampanye Pemilu 2014 - ANTARA News Kalimantan Barat"
15565,"Negative","Pengurus PPP Kapuas Hulu Dilantik, Ketua Partai Justru Mundur dari Kader dan Ketua DPRD - Tribun Pon"
15566,"Positive","Panwaslu Kubu Raya Imbau Masyarakat dan Paslon Taati Seputar Pelaksanaan Pilkada Serentak - Tribun P"
15567,"Positive","Ria Norsan Siap Maju di Pilgub Kalbar 2018, Milton : Kita Kembalikan ke Mekanisme Partai Golkar - Ka"
15568,"Positive","Gatranews - Oppie Andaresta Manggung di Hari Terakhir Rumah Lembang"
15569,"Negative","Karolin Protes Tata Layar Grafis Debat KPU, Sutarmidji : Ikut Sajalah - Tribun Pontianak"
15570,"Negative","Remisi Ahok Dicibir Fadli Zon - rayapos.com"
15571,"Negative","KIPP Kritik Seleksi Anggota KPU dan Bawaslu Sebelum RUU Pemilu Disahkan - Kompas.com"
15572,"Negative","KIPP Kritisi Seleksi Anggota KPU & Bawaslu Sebelum RUU Pemilu Disahkan - Kompas.com"
15573,"Positive","KPU Hanya Akui Partai Hanura dengan Ketua Oesman Sapta Odang - Tribun Pontianak"
15574,"Positive","Resmi Daftar ke KPU, Golkar Pontianak Terus Lakukan Konsolidasi Dalam Rangka Solidkan Kader - Kalbar"
15575,"Positive","KPU bagi tiga zona kampanye pilgub Kalbar - ANTARA News Kalimantan Barat"
15576,"Negative","Lengkapi Berkas Gugatan Ke Bawaslu, Partai Republik: KPU Diskriminatif"
15577,"Negative","Partai Bulan Bintang Gugat KPU ke Bawaslu Gara-gara Ini - Tribun Pontianak"
15578,"Positive","Akhir Pekan Ini Debat Pertama Pilgub Kalbar Akan Digelar KPU - Tribun Pontianak"
15579,"Negative","Amien Rais Sebut Pemerintah Bangkitkan PKI, Panglima TNI Bersuara - rayapos.com"
15580,"Positive","Giman Penuhi Nazar Jalan Kaki Gantikan Amien Rais - ANTARA News Kalimantan Barat"
15581,"Positive","Daftar di PDIP Menuju Pilgub Kalbar, Sutarmidji: Saya Akan Daftar ke Semua Partai Yang Membuka Penda"
15582,"Positive","KPU Mitra Bagikan APK Kepada Paslon Pilkada 2018 - rayapos.com"
15583,"Positive","Pilkada DKI, Petinggi PDIP Semua Kader Berpeluang Sama"
15584,"Negative","Selama Masa Kampanye, KPU Kalbar Baru Terima 1 Rekomendasi Pelanggaran Dari Bawaslu - Tribun Pontian"
15585,"Negative","Gatranews - Pendukung Yang Ungkap Kelemahan Ahok"
15586,"Positive","Fahri Hamzah Tulis Surat Terbuka untuk Kader PKS | Republika Online"
15587,"Positive","Bawaslu Wanti-Wanti Anggota Dewan Yang Ikut Kampanye Saat Pilkada, Ini Sanksinya! - Tribun Pontianak"
15588,"Negative","Luhut Emosi Tanggapi Amien Rais, Sampai Singgung Track Record - Tribun Pontianak"
15589,"Negative","Amien Rais Dituding Provokasi Gunakan Sentimen Agama - ANTARA News Kalimantan Barat"
15590,"Positive","Amien Rais optimis Anies - Sandi pegang janji soal reklamasi - rayapos.com"
15591,"Negative","Amien Rais Sebut Rezim Sekarang Paling Gawat - Kantorberitapemilu.com"
15592,"Positive","Amien Rais: Jangan Rusak Kebhinnekaan Umat Islam - rayapos.com"
15593,"Positive","Bawaslu Kalbar Tak Punya Wewenang Awasi Anggaran KPU Selama Kampanye - Tribun Pontianak"
15594,"Positive","Golkar klaim Ahok maju lewat partai, Teman Ahok pilih wait and see"
15595,"Positive","Pemuda Golkar Deklarasi PMB Untuk Kemenangan Partai di Tahun Politik - Kantorberitapemilu.com"
15596,"Positive","Resmi Ditetapkan KPU, Ini Program Unggulan Tiga Paslon Pilkada Kubu Raya 2018 - KalbarOnline.Com"
15597,"Positive","Pilkada DKI, PDIP Klaim Ada Dua Kesepakatan dengan Gerindra"
15598,"Positive","KPU Landak Gelar Rakor Pilkada 2018 dan Pemilu 2019 - Tribun Pontianak"
15599,"Positive","Gerakan Sadar Pilkada dan Pemilu, KPU Gelar Jalan Santai - Tribun Pontianak"
15600,"Positive","Sekjen PDIP Ungkap Jasa Husni Kamil dalam Pemilu"
15601,"Positive","DPR Tak Setuju Sumbangan Dana Kampanye dari Partai Dibatasi"
15602,"Positive","Panwaslu Mempawah Deklarasi Tolak dan Lawan Politik Uang dan Politisasi Sara Pilkada 2018 - Tribun P"
15603,"Positive","Kapolri Bahas Pengamanan Ramadan dan Pilkada di DPR  VIVA"
15604,"Negative","Pelaksanaan Pilkada, KPU: Setiap Tahapan Pemilu Memiliki Potensi Masalah - Tribun Pontianak"
15605,"Positive","Deklarasi Kampanye Damai, Pj Gubernur Kalbar Apresiasi Komitmen Tiga Paslon Wujudkan Pilkada Santun "
15606,"Positive","Gelar Rakor Lanjutan, KPUD Sambas Simulasikan Jumlah Dapil - Tribun Pontianak"
15607,"Positive","Politikus PDIP: Tidak Ada Alasan Untuk Membatalkan Hasil Timsel KPU-Bawaslu - Tribunnews.com"
15608,"Positive","Petinggi Partai Politik dan Menteri Kabinet Kerja Hadiri HUT ke-44 PDIP - Tribunnews.com"
15609,"Positive","PKB Bidik Posisi Cawapres - ANTARA News Kalimantan Barat"
15610,"Positive","PDIP Tunda Rekom Pilgub Kalbar 2018, Ini Analisis Pengamat Politik Untan - Tribun Pontianak"
15611,"Positive","KPU Tetapkan Karolin-Heriadi Sebagai Pemenang Pilkada Landak - ANTARA News Kalimantan Barat"
15612,"Positive","APK Paslon di Pilgub Kalbar 2018 Sudah Mulai Didistribusikan KPU Sintang - Tribun Pontianak"
15613,"Positive","Daftar ke KPU, Golkar Sanggau Optimis Menang di Pilkada 2018 - KalbarOnline.Com"
15614,"Positive","Golkar Kapuas Hulu Serahkan Dokumen Partai ke KPU, Ini Videonya - Tribun Pontianak"
15615,"Negative","KPU Kalbar Terima Rekomendasi Dugaan Pelanggaran Ini Dari Bawaslu, Terkait Bahan Kampanye! - Tribun "
15616,"Positive","Partai Keadilan Sejahtera Kubu Raya Daftar Kepesertaan Pemilu di KPU - Tribun Pontianak"
15617,"Positive","KPU Kubu Raya Gelar Raker Persiapan Kampanye Pilkada - ANTARA News Kalimantan Barat"
15618,"Positive","KPU Kalbar Beri Hak Paslon Perbanyak APK dan Penyebaran Bahan Kampanye, Ini Ketentuannya - Tribun P"
15619,"Positive","KPU Mempawah Batasi Pengeluaran Dana Kampanye Paslon Bupati, Segini Nilainya - Tribun Pontianak"
15620,"Positive","Kampanye Medsos, KPU Provinsi Minta Paslon Tak Langgar Ketentuan Ini - Tribun Pontianak"
15621,"Positive","KPU Wanti-wanti Paslon Cetak Tambahan Bahan Kampanye Maksimal Rp 25 Ribu - Tribun Pontianak"
15622,"Positive","SBY akui KPU dipimpin Husni Kamil bikin politik dan demokrasi sukses"
15623,"Positive","Wiranto Enggan Tanggapi Perseteruan Luhut-Amien Rais, Ini Alasannya - Wartakota"
15624,"Negative","Rumah Amien Rais Ditembak Orang Tak Dikenal - ANTARA News Kalimantan Barat"
15625,"Negative","Komnas HAM : Penembakan Mobil Amien Rais Teror Serius - ANTARA News Kalimantan Barat"
15626,"Negative","Desmond: Ada Kesan Kasus Amien Rais dan Habib Rizieq Merupakan Hasil Rekayasa - KalbarOnline.Com"
15627,"Positive","Bagi Zonasi Kampanye, KPU Batasi Rapat Umum Pilgub Kalbar Hanya Dua Kali - Tribun Pontianak"
15628,"Positive","LASMURA KALBAR AKAN WUJUDKAN SATU DAPIL, SATU CALEG LASMURA | Media Kalbar News"
15629,"Positive","KPU Minahasa Tetapkan Besaran Dana Kampanye Pilkada - rayapos.com"
15630,"Positive","KPU Kubu Raya Minta Peserta Pilkada Patuhi Zona Kampanye - ANTARA News Kalimantan Barat"
15631,"Positive","KPU Kubu Raya Imbau Peserta Pilkada Bersihkan Atribut Kampanye - ANTARA News Kalimantan Barat"
15632,"Positive","Ketua KPU Sintang Beberkan Metode Kampanye Pilgub Kalbar yang Akan Difasilitasi - Tribun Pontianak"
15633,"Positive","Ditanya Sikap Politik di Pilkada 2018, Ini Jawaban DPC Partai Garuda - Tribun Pontianak"
15634,"Positive","Gatranews - Mulai Senin, Warga Jakarta Bisa Curhat Dengan Ahok Lagi"
15635,"Positive","Tidak Ada Poros Islam, Amien Rais: Yang Ada Poros Tengah! - Kantorberitapemilu.com"
15636,"Positive","Amien Rais Minta Warga Kota Jambi Pilih Fasha -..."
15637,"Positive","Ketum Golkar Yakin Ahok Bakal Maju ke Pilkada Lewat Parpol"
15638,"Positive","Hasil Tes Kesehatan 15 Paslon di Pilkada Sultra,..."
15639,"Positive","Hasil Tes Kesehatan 15 Paslon di Pilkada Sultra,..."
15640,"Positive","KPU Mempawah Lakukan Sosialisasi Pendaftaran, Verifikasi dan Penetapan Partai Politik - Tribun Ponti"
15641,"Positive","Pilkada Serentak - Waspadai 'Mafia Politik' pada Pilgub Jatim | RRI Portal Berita Radio Berjaringan "
15642,"Positive","PDIP di Pilkada DKI, Pengamat Intuisi Politik Mega Tajam"
15643,"Negative","Kompak, Amien Rais Tuding Pengibulan dan Syafii Maarif Sebut Penipuan - Wartakota"
15644,"Positive","Hari ini, Dua Pasang Cagub dan Cawagub Jabar Daftar ke KPUD - rayapos.com"
15645,"Positive","Pertahankan Rajuliansyah, PPP: Beliau Kader Terbaik - KalbarOnline.Com"
15646,"Negative","Fadli Zon: Jokowi Telan Ludah Sendiri Soal Rangkap Jabatan - rayapos.com"
15647,"Negative","Fadli Zon dan Fahri Hamzah Dilaporkan ke Polisi - rayapos.com"
15648,"Positive","Fadli Zon: Susi Baper Saja Kali Ya? - rayapos.com"
15649,"Negative","Disindir Fadli Zon Soal Rupiah, Sri Mulyani: Masalahnya di Amerika"
15650,"Negative","Fadli Zon Sindir (Lagi) Sri Mulyani"
15651,"Positive","Jadi Pendatang Baru! Partai Berkarya Nyatakan Dukung Empat Paslon Ini di Pilkada Serentak Kalbar - T"
15652,"Positive","Komisi II: Belum Ada Pembicaraan antara DPR dan Pemerintah soal Timsel KPU-Bawaslu - Tribunnews.com"
15653,"Positive","Panwaslu Kayong Utara Deklarasi Tolak dan Lawan Politik Uang dan Politisasi Sara Pilkada 2018 - Trib"
15654,"Positive","Daniel : Caleg PKB Wajib Perjuangkan Rakyat - ANTARA News Kalimantan Barat"
15655,"Positive","KPUD Minahasa: Hingga Kini Dua Paslon Belum Masukan LHKPN - rayapos.com"
15656,"Positive","Djarot: Kita Sangat Tunggu Momen Debat Kandidat dari KPUD - News Liputan6.com"
15657,"Positive","Fadli Zon Lantik HKTI Se-kalbar - ANTARA News Kalimantan Barat"
15658,"Positive","Kunjungi Pengungsian Warga Akuarium, Fadli Zon Bagikan Selimut dan Sembako - Aktual.Com Terhangat Te"
15659,"Negative","Fadli Zon Jadikan Video Jokowi Contoh Asbun dan Hoax - Tribun Pontianak"
15660,"Negative","Ngetwit Lagi, Fadli Zon: Kata-Kata Pak Jokowi Tak Bisa Dipegang - rayapos.com"
15661,"Positive","Fadli Zon Bandingkan Suporter Sepakbola Indonesia, Ini Katanya - rayapos.com"
15662,"Positive","Tak Hadiri Undangan Fadli Zon, Menteri Susi Pilih Resmikan Pasar Ikan - rayapos.com"
15663,"Positive","Tanggapan Polisi Soal Permintaan Fadli Zon Hentikan Kasus Makar - News Liputan6.com"
15664,"Negative","Fadli Zon Sindir (Lagi) Sri Mulyani"
15665,"Positive","Perindo Siap Menangkan Karolin-Gidot | Pontianak Post"
15666,"Positive","KPUD Sekadau Perkirakan DPT Pilpres Bertambah - ANTARA News Kalimantan Barat"
15667,"Positive","Amien Rais Minta Warga Kota Jambi Pilih Fasha -..."
15668,"Negative","Khawatir Pasca Kritik Jokowi, Putri Amien Rais Ungkap Mobil Ayahnya Pernah Ditembaki - Tribun Pontia"
15669,"Positive","Daftar ke KPUD, Hanura Sekadau Optimis Menang di Pileg 2019 - KalbarOnline.Com"
15670,"Positive","Airlangga Punya Peluang Jadi Cawapres Jokowi di Pilpres 2019 - rayapos.com"
15671,"Negative","Panwaslu Sekadau Sesalkan Caleg Berkampanye Tidak Lapor - ANTARA News Kalimantan Barat"
15672,"Positive","PDI Perjuangan Siapkan Satu Ton Ikan Gratis - ANTARA News Kalimantan Barat"
15673,"Positive","Cornelis Ajak Simpatisan Menangkan PDI Perjuangan - ANTARA News Kalimantan Barat"
15674,"Positive","Ketua Fraksi PDI Perjuangan DPRD Melawi Bantah Isu PAW - ANTARA News Kalimantan Barat"
15675,"Positive","Ketum Minta Kader Hanura Jangan Korupsi - rayapos.com"
15676,"Positive","Kantor KPUD dan Panwaslu Sintang Mulai Dijaga Polisi - Tribun Pontianak"
15677,"Positive","Bamsoet Hingga Fadli Zon Lapor SPT"
15678,"Positive","ACTA Siap Bela Fadli Zon dan Fahri Hamzah - rayapos.com"
15679,"Negative","Dandim Lebak Dicopot, Ini Komentar Fadli Zon - Tribunnews.com"
15680,"Positive","Fadli Zon Ingatkan Indonesia Bangkit atau Bangkrut Tergantung Pemimpin - Tribun Pontianak"
15681,"Negative","Fadli Zon Tuding Jokowi Pencitraan Karena Jadi Imam Shalat, Ini Kata Seskab - rayapos.com"
15682,"Positive","Fadli Zon Hadiri Pelantikan DPW Ikatan Keluarga Minang di Jakarta - rayapos.com"
15683,"Negative","Wayan Menilai, Fadli Zon Iri Remisi Ahok - rayapos.com"
15684,"Positive","Fadli Zon: Harus Pakai Akal Sehat - Kantorberitapemilu.com"
15685,"Positive","Sindir Djarot, Fadli Zon : Dulu siapa yang nolak demokrasi perwakilan? - rayapos.com"
15686,"Positive","Bamsoet Hingga Fadli Zon Lapor SPT"
15687,"Positive","Luhut VS Amien, Fadli Zon Ikut Berkomentar - rayapos.com"
15688,"Negative","Rupiah Melemah, Fadli Zon: Sri Mulyani Mikir Lah! Kan Menteri Terbaik Dunia - rayapos.com"
15689,"Positive","Caleg PKS Jateng Advokasi Penarik Becak Motor - ANTARA News Kalimantan Barat"
15690,"Positive","PKB Syaratkan Cagub Kalbar Bantu Petani Karet - ANTARA News Kalimantan Barat"
15691,"Negative","Gatranews - Saiful Tak Peduli Siapa Yang Jadi Jadi Caleg NasDem"
15692,"Positive","Ajak PAN Koalisi, Hatta Rajasa Harga Mati Cawapres - ANTARA News Kalimantan Barat"
15693,"Positive","PAN: Tim Penjaringan Cawapres Hak Jokowi - Kantorberitapemilu.com"
15694,"Positive","PDI Perjuangan Siapkan Mekanisme Pemilihan Ketua DPRD - ANTARA News Kalimantan Barat"
15695,"Positive","PDI Perjuangan Dorong Pemerintah Tetapkan Soekarno Bapak Bangsa - ANTARA News Kalimantan Barat"
15696,"Positive","Menatap Kalbar 2018, Rekomendasi PDI Perjuangan Masih Dalam Proses - KalbarOnline.Com"
15697,"Positive","10 Orang Melamar PDI Perjuangan Untuk Pilwako Singkawang - ANTARA News Kalimantan Barat"
15698,"Positive","PDI Perjuangan Ganti Kepengurusan DPC Ketapang - ANTARA News Kalimantan Barat"
15699,"Positive","PDI Perjuangan Sudah Bertemu Tim Hatta Rajasa - ANTARA News Kalimantan Barat"
15700,"Negative","Sujiwo Nyatakan Mundur Dari PDI Perjuangan - ANTARA News Kalimantan Barat"
15701,"Positive","PDI Perjuangan Singkawang Rapatkan Barisan Menangkan CHAIR - ANTARA News Kalimantan Barat"
15702,"Positive","Gatranews - Pimpinan MPR Hadiri HUT PDI Perjuangan"
15703,"Positive","PDI Perjuangan Pastikan Usung Sis di Kapuas Hulu - ANTARA News Kalimantan Barat"
15704,"Negative","Relawan Pendukung Jokowi Sindir PDI Perjuangan - ANTARA News Kalimantan Barat"
15705,"Positive","Jadi Tersangka, KPUD Lampung Tetap Berikan Hak Politik Mustafa | iNews Portal - Lampung"
15706,"Positive","Panwaslu Sekadau: Caleg Incumbent Masih Patuhi Aturan - ANTARA News Kalimantan Barat"
15707,"Positive","Fadli Zon Posting Foto Terkini Abu Bakar Baasyir! Netizen Minta Hal Ini - Tribun Pontianak"
15708,"Negative","Disindir Fadli Zon Soal Rupiah, Sri Mulyani: Masalahnya di Amerika"
15709,"Negative","Serangan Bertubi-tubi ke Susi, dari Nelayan Cantrang Hingga Fadli Zon"
15710,"Negative","Dulu, Fadli Zon Pasang Badan Bela Tersangka Pencabulan Bocah"
15711,"Negative","Fadli Zon Kecam Gaya Main Ancam yang Dipertontonkan Luhut di Era Reformasi - Wartakota"
15712,"Negative","Fadli Zon Sindir soal Rupiah Melemah, Sri Mulyani Bilang Begini - Wartakota"
15713,"Positive","Fadli Zon Rute yang Dikuasai Abu Sayyaf Harus Dipetakan"
15714,"Negative","Dulu Bela Arsyad, Kini Fadli Zon Saya Tak Ada Urusan"
15715,"Positive","Fadli Zon Sebut Penggunaan Cadar Hak Pribadi, Sama Seperti Jilbab - Tribun Pontianak"
15716,"Positive","Luncurkan Dua Single, Shafa Sabila Tak Ingin Bawa Nama Besar Fadli Zon sang Ayah - rayapos.com"
15717,"Negative","Di depan Fadli Zon, Rachmawati Menangis Dituduh Makar : Okezone News"
15718,"Positive","Gelar Temu Kader, Perindo Mentawai Optimistis Tatap Pileg 2019 | iNews Portal - Sumbar"
15719,"Positive","Kader Ditangkap KPK, Ini Pernyataan Wakil Ketua Umum PAN - Tribun Pontianak"
15720,"Positive","PAN Apresiasi Rizal Ramli Ikut Pilpres - Kantorberitapemilu.com"
15721,"Positive","KPUD Sintang Mulai Distribusi Logistik Pemilu - ANTARA News Kalimantan Barat"
15722,"Positive","Panwaslu Pontianak Proses Pelanggaran Caleg ke Gakumdu - ANTARA News Kalimantan Barat"
15723,"Positive","PWI dan AJI Netral Untuk Capres-Cawapres - ANTARA News Kalimantan Barat"
15724,"Positive","Polri: 6 Capres-Cawapres Dapat Pengamanan Khusus - ANTARA News Kalimantan Barat"
15725,"Negative","Tokoh Agama Prihatin Ketidaksadaran Capres-Cawapres Bersaing Sehat - ANTARA News Kalimantan Barat"
15726,"Positive","Alasan Jokowi-JK Deklarasi Capres-Cawapres di Gedung Joeang - ANTARA News Kalimantan Barat"
15727,"Positive","Pastikan Hadir Di Debat Cagub DKI, Agus-Sylvi Siapkan 12 Orang Ahli - Aktual.Com Terhangat Terpercay"
15728,"Positive","Megawati Bantah Isu Jokowi Capres ""Boneka"" - ANTARA News Kalimantan Barat"
15729,"Positive","Bawaslu Kalbar Selidiki Caleg Gunakan Fasilitas Negara - ANTARA News Kalimantan Barat"
15730,"Negative","Pakar: Elaborasi kedaulatan Eenergi Capres-Cawapres Lemah - ANTARA News Kalimantan Barat"
15731,"Positive","Fanatisme Berlebihan ke Capres-Cawapres Harus Diwaspadai - ANTARA News Kalimantan Barat"
15732,"Positive","Hasil Pemeriksaan Kesehatan Capres-Cawapres Sabtu - ANTARA News Kalimantan Barat"
15733,"Positive","PPP Tidak Pernah Diilibatkan Soal Cawapres Jokowi - Kantorberitapemilu.com"
15734,"Positive","KPU Harus Mampu Mendelegasikan Tugas Verifikasi Faktual ke KPUD - rayapos.com"
15735,"Positive","Linda : Rekrut Caleg Perempuan Jangan Dekat Pemilu - ANTARA News Kalimantan Barat"
15736,"Positive","Caleg Perempuan Kalbar Harapkan LSM Pantau Pemilu - ANTARA News Kalimantan Barat"
15737,"Positive","Segera Mulai, Inilah Tema Debat Cagub-Cawagub Kalbar 2018 - Tribun Pontianak"
15738,"Positive","Kalau Tak Dipilih Jokowi Jadi Cawapres, Cak Imin Siap Maju Menjadi Capres - Tribun Pontianak"
15739,"Negative","Presiden Jokowi Imam Salat di Afganistan, Komentar Fadli Zon Bikin Nyelekit - Tribun Pontianak"
15740,"Positive","Ini Alasan Muhammad Rizki Laporkan Fahri Hamzah dan Fadli Zon ke Polisi - Tribun Pontianak"
15741,"Positive","MKD Tetap Proses Aduan Surat Permintaan Fasilitas Anak Fadli Zon"
15742,"Negative","Fadli Zon: Nanti Rakyat Marah, Masa Mengkritik Dibilang Makar - Tribunnews.com"
15743,"Positive","KPU Gelar Uji Publik Penataan Dapil - Tribun Pontianak"
15744,"Positive","PKS Kalbar Bawa Pesan Cagub Pilihan Umat - ANTARA News Kalimantan Barat"
15745,"Positive","Megawati Beri Penghargaan Kepada Widodo Sebagai Kader Pemberani - Tribunnews.com"
15746,"Positive","Instruksi Megawati Kepada Kader: Jadilah Banteng Sejati - Tribunnews.com"
15747,"Positive","Rhoma Irama Bantah Dirinya Mundur dari Bursa Capres PKB - ANTARA News Kalimantan Barat"
15748,"Positive","Boyman : Kader PAN Harus Bermanfaat Untuk Masyarakat - ANTARA News Kalimantan Barat"
15749,"Positive","Debat Capres - Jokowi Janji Kembangkan Pasar Tradisional dan PKL - ANTARA News Kalimantan Barat"
15750,"Positive","Hikmahanto Juwana Siap Jadi Moderator Debat Capres - ANTARA News Kalimantan Barat"
15751,"Positive","Debat Capres - Jokowi Usung Ekonomi Berdikari - ANTARA News Kalimantan Barat"
15752,"Positive","Yusril Lengkapi Formulir Penjaringan Cagub DKI PPP"
15753,"Positive","Ketua DPW PPP Kalbar Maju Cagub 2018 - ANTARA News Kalimantan Barat"
15754,"Positive","Ketum Partai Garuda Bersaudara dengan Ketua Gerindra - rayapos.com"
15755,"Positive","PAN: Pilkada Jangan Singgung Isu SARA - rayapos.com"
15756,"Negative","Caleg DPD Kalbar Protes Penolakan Laporan Dana Kampanye - ANTARA News Kalimantan Barat"
15757,"Positive","PKB: Jokowi Jika Tanpa Cak Imin, akan Berat di Pilpres - rayapos.com"
15758,"Negative","OSO Sebut Perpecahan Hanura Karena Mahar Politik - rayapos.com"
15759,"Positive","KPUD Kubu Raya Jaring Penyelenggara Pemilu Tingkat Kecamatan dan Desa - Tribun Pontianak"
15760,"Positive","SBY Dan Megawati Tidak Terlibat Kasus Pencetakan Uang - ANTARA News Kalimantan Barat"
15761,"Positive","Jokowi Capres, Hak Prerogatif Megawati - Kantorberitapemilu.com"
15762,"Positive","Muhaimin: Kader NU Jadi Cawapres Jokowi, Kenapa Pilih Lain - ANTARA News Kalimantan Barat"
15763,"Negative","Amien Rais Sebut 74 Persen Lahan di Indonesia Dikuasai Asing, Ma'ruf Amin Bilang Begini - Wartakota"
15764,"Positive","560 Caleg Terpilih Ditetapkan, Karolin Margret Raih Suara Tertinggi - ANTARA News Kalimantan Barat"
15765,"Positive","Dewan Syuro PKB Restui Jokowi Maju Capres - ANTARA News Kalimantan Barat"
15766,"Negative","Membelot dari Midji-Norsan, Ini Sanksi untuk Kader PKB - KalbarOnline.Com"
15767,"Negative","Bakal Caleg yang Tertutup Jadi Preseden Buruk Pemilu 2014 - ANTARA News Kalimantan Barat"
15768,"Positive","Pramono Edi Yakin Menangi Konvensi Capres Demokrat - ANTARA News Kalimantan Barat"
15769,"Positive","Dahlan Iskan Pemenang Konvensi Capres Demokrat - ANTARA News Kalimantan Barat"
15770,"Positive","PPP Antisipasi Kemunculan Capres Tunggal : Okezone News"
15771,"Positive","Perindo nyatakan dukungan untuk Karolin-Gidot - ANTARA News Kalimantan Barat"
15772,"Negative","SBY: Ada yang Ingin Mengadu Domba Saya dengan Jokowi dan Megawati - rayapos.com"
15773,"Negative","Sayangkan Mundurnya Rajuliansyah dari Kursi DPRD dan PPP, Retno: Beliau Kader Terbaik - KalbarOnline"
15774,"Positive","Besarnya Total Anggaran Kampanye di Pilkada Kalbar, KPU Sebutkan Hampir Capai Rp 19 Miliar - Tribun "
15775,"Positive","Partai Perindo Dukung Abdul Ghani Kasuba di Maluku Utara | iNews Portal - Maluku"
